date,county,state,fips,cases,deaths,
10/16/2022,Adams,Pennsylvania,42001,29031,395,1
10/16/2022,Allegheny,Pennsylvania,42003,320559,3567,2
10/16/2022,Armstrong,Pennsylvania,42005,17323,372,3
10/16/2022,Beaver,Pennsylvania,42007,46424,781,4
10/16/2022,Berks,Pennsylvania,42011,117909,1672,5
10/16/2022,Blair,Pennsylvania,42013,33375,651,6
10/16/2022,Bucks,Pennsylvania,42017,144754,2028,7
10/16/2022,Butler,Pennsylvania,42019,52019,791,8
10/16/2022,Cambria,Pennsylvania,42021,40562,772,9
10/16/2022,Carbon,Pennsylvania,42025,18563,316,10
10/16/2022,Centre,Pennsylvania,42027,41491,373,11
10/16/2022,Chester,Pennsylvania,42029,109929,1240,12
10/16/2022,Clearfield,Pennsylvania,42033,22502,374,13
10/16/2022,Crawford,Pennsylvania,42039,23233,342,14
10/16/2022,Cumberland,Pennsylvania,42041,58897,932,15
10/16/2022,Dauphin,Pennsylvania,42043,67701,1015,16
10/16/2022,Delaware,Pennsylvania,42045,131328,1951,17
10/16/2022,Erie,Pennsylvania,42049,67196,829,18
10/16/2022,Fayette,Pennsylvania,42051,36762,719,19
10/16/2022,Franklin,Pennsylvania,42055,47099,745,20
10/16/2022,Indiana,Pennsylvania,42063,20510,382,21
10/16/2022,Lackawanna,Pennsylvania,42069,53847,842,22
10/16/2022,Lancaster,Pennsylvania,42071,138720,1984,23
10/16/2022,Lawrence,Pennsylvania,42073,21823,440,24
10/16/2022,Lebanon,Pennsylvania,42075,41912,539,25
10/16/2022,Lehigh,Pennsylvania,42077,103516,1300,26
10/16/2022,Luzerne,Pennsylvania,42079,87370,1486,27
10/16/2022,Lycoming,Pennsylvania,42081,32635,568,28
10/16/2022,Mercer,Pennsylvania,42085,26726,522,29
10/16/2022,Monroe,Pennsylvania,42089,44175,559,30
10/16/2022,Montgomery,Pennsylvania,42091,184783,2460,31
10/16/2022,Northampton,Pennsylvania,42095,92708,1170,32
10/16/2022,Northumberland,Pennsylvania,42097,26514,563,33
10/16/2022,Philadelphia,Pennsylvania,42101,366034,5318,34
10/16/2022,Schuylkill,Pennsylvania,42107,39370,718,35
10/16/2022,Somerset,Pennsylvania,42111,21137,423,36
10/16/2022,Washington,Pennsylvania,42125,60439,691,37
10/16/2022,Westmoreland,Pennsylvania,42129,93270,1470,38
10/16/2022,York,Pennsylvania,42133,137108,1582,39
